2021-Dec-05 07:33:41 [INFO] Initialized Memory Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 38)
2021-Dec-05 07:33:41 [INFO] 134217728 bytes of memory allocated.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 41)
2021-Dec-05 07:33:41 [INFO] Font Data Container allocated 2560 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:41 [INFO] NonStatic TextureData Container allocated 1024 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:41 [INFO] Static TextureData Container allocated 1024 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:41 [INFO] Monitor Size: 1920, 1080(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 239)
2021-Dec-05 07:33:41 [INFO] Creating Window of Size: 1920, 1080(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 281)
2021-Dec-05 07:33:42 [INFO] Screen Size: 1922, 1094(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 393)
2021-Dec-05 07:33:42 [INFO] Client Size: 1920, 1055(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 394)
2021-Dec-05 07:33:42 [INFO] Initialized Component Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\ComponentManager.h, Line: 39)
2021-Dec-05 07:33:42 [INFO] Layer Manager allocated 212992 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] EntityManager allocated 69632 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] Initialized Entity Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\EntityManager.h, Line: 77)
