2022-Jan-25 16:40:08 [INFO] Initialized Memory Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 38)
2022-Jan-25 16:40:08 [INFO] 134217728 bytes of memory allocated.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 41)
2022-Jan-25 16:40:08 [INFO] Font Data Container allocated 2560 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] NonStatic TextureData Container allocated 1024 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] Static TextureData Container allocated 1024 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] (C:\Users\Mingz\source\Github\GameSense\GameSense2D\Source\main.cpp, Line: 31)
2022-Jan-25 16:40:08 [INFO] Monitor Size: 1920, 1080(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 246)
2022-Jan-25 16:40:08 [INFO] Creating Window of Size: 1920, 1080(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 288)
2022-Jan-25 16:40:08 [INFO] Screen Size: 1920, 1080(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 400)
2022-Jan-25 16:40:08 [INFO] Client Size: 1920, 1051(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\Window.cpp, Line: 401)
2022-Jan-25 16:40:08 [INFO] Initialized Component Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\ComponentManager.h, Line: 39)
2022-Jan-25 16:40:08 [INFO] Layer Manager allocated 196608 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] EntityManager allocated 69632 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] Initialized Entity Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\EntityManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] Initialized System Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 44)
2022-Jan-25 16:40:08 [INFO] System Manager allocated 8388608 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::Camera allocated 188416 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::Transform allocated 20480 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::UITransform allocated 20480 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::RigidBody allocated 40960 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::Texture allocated 102400 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::TextObject allocated 90112 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::BoxCollider2D allocated 32768 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::CircleCollider2D allocated 28672 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::ParticleEngine allocated 110592 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] class GSEngine::AudioObject allocated 40960 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::PolygonCollider2D allocated 53248 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::QuadShear allocated 10240 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::LightSource allocated 24576 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] struct GSEngine::AnimController allocated 40960 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::PhysicsSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::CollisionSystem' (152 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::RenderSystem' (760 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::CameraSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::AnimationSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::ParticleSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::AudioSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::ControllerSystem' (144 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2022-Jan-25 16:40:08 [INFO] System 'class GSEngine::UISystem' (184 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
